theme_id,theme_name,parent_id
343,Rahi,324.0
344,Rahkshi,324.0
345,Stars,324.0
346,Supplemental,324.0
347,Titans,324.0
348,Toa,324.0
349,Toa Hagah,324.0
350,Toa Hordika,324.0
351,Toa Inika,324.0
352,Toa Mahri,324.0
353,Toa Metru,324.0
354,Toa Nuva,324.0
355,Tohunga,324.0
356,Turaga,324.0
357,Vahki,324.0
358,Visorak,324.0
359,Warriors,324.0
360,Protectors,324.0
361,Skull Spiders,324.0
362,Toa Okoto,324.0
363,Boat,
364,Building Set with People,
365,Classic,
366,Basic Set,365.0
367,Building,365.0
368,HO 1:87 Vehicles,365.0
369,Jumbo Bricks,365.0
370,Mosaic,365.0
371,Supplemental,365.0
372,Town Plan,365.0
373,Vehicle,365.0
374,Airport,373.0
375,Farm,373.0
376,Fire,373.0
377,Harbor,373.0
378,Traffic,373.0
379,Supplemental,373.0
380,Train,373.0
381,Construction,373.0
382,Cargo,373.0
383,Wooden Box Set,365.0
384,Dino 2010,
385,Dino Attack,
386,Dinosaurs,
387,Discovery,
388,Disney's Mickey Mouse,
389,Exo-Force,
390,Fabuland,
391,Hospital,390.0
392,Post Office,390.0
393,Harbor,390.0
394,Airport,390.0
395,Fire,390.0
396,Police,390.0
397,Factory,
398,FIRST LEGO League,
399,Freestyle,
400,Hero Factory,
401,Heroes,400.0
402,Vehicles,400.0
403,Villains,400.0
404,Hobby Sets,
405,Homemaker,
406,Inventor,
407,Island Xtreme Stunts,
408,LEGO Brand Store,
409,Monthly Mini Model Build,408.0
410,Pick A Model,408.0
411,Legoland,
412,Airport,411.0
413,Building,411.0
414,Castle,411.0
415,Coast Guard,411.0
416,Construction,411.0
417,Fire,411.0
418,Gas Station,411.0
419,Harbor,411.0
420,Hospital,411.0
421,Police,411.0
422,Space,411.0
423,Vehicle,411.0
424,Western,411.0
425,Legoland Parks,
426,Bionicle,425.0
427,Holiday,425.0
428,Christmas,425.0
429,Halloween,425.0
430,Pirates,425.0
431,Star Wars,425.0
432,Master Building Academy,
433,Minitalia,
434,Ninja,
435,Ninjago,
436,Airjitzu,435.0
437,Pharaoh's Quest,
438,Power Functions,
439,Power Miners,
440,Primo,
441,Quatro,
442,Rock Raiders,
443,Service Packs,
444,Adventurers,443.0
445,Aquazone,443.0
446,Belville,443.0
447,Castle,443.0
448,Fabuland,443.0
449,Pirates,443.0
450,Primo,443.0
451,Scala,443.0
452,Space,443.0
453,Technic,443.0
454,Town,443.0
455,Classic Town,454.0
456,Train,443.0
457,Western ,443.0
458,Sports,
459,Basketball,458.0
460,Gravity Games,458.0
461,Hockey,458.0
462,Soccer,458.0
463,Spybiotics,
464,Time Cruisers,
465,Universal Building Set,
466,Airport,465.0
467,Basic,465.0
468,Basic Model,465.0
469,Basic Set,465.0
470,Classic Basic,465.0
471,Ferries,465.0
472,Gears,465.0
473,Supplemental,465.0
474,Vikings,
475,Western,
476,Cowboys,475.0
477,Indians,475.0
478,X-Pod,
479,Creator,478.0
480,Znap,
481,Dino,
482,Super Heroes,
483,Guardians of the Galaxy,482.0
484,Batman,482.0
485,Ultimate Collector Series,484.0
486,Justice League,482.0
487,Avengers,482.0
488,Spider-Man,482.0
489,Superman,482.0
490,Iron Man,482.0
491,X-Men,482.0
492,Constraction,482.0
493,Marvel,482.0
494,Friends,
495,Jungle Rescue,494.0
496,Animals,494.0
497,Books,
498,Technic,497.0
499,Train,497.0
500,Clikits,
501,Gear,
502,Game,501.0
503,Key Chain,501.0
504,Duplo,
505,Basic Set,504.0
506,Cars,504.0
507,Educational and Dacta,
508,4 Juniors,507.0
509,Adventurers,507.0
510,Boat,507.0
511,Building Set with People,507.0
512,Castle,507.0
513,Classic,507.0
514,Creator,507.0
515,Dinosaurs,507.0
516,Explore,507.0
517,Learning,507.0
518,Mindstorms,507.0
519,NXT,518.0
520,RCX,518.0
521,WeDo,518.0
522,Primo,507.0
523,Samsonite,507.0
524,Service Packs,507.0
525,Technic,524.0
526,Soft Bricks,507.0
527,Space,507.0
528,Supplemental,507.0
529,Technic,507.0
530,Control Lab,529.0
531,eLAB,529.0
532,Supplemental,529.0
533,Town,507.0
534,Universal Building Set,507.0
535,Collectible Minifigures,
536,Series 1 Minifigures,535.0
537,Series 2 Minifigures,535.0
538,Series 3 Minifigures,535.0
539,Series 4 Minifigures,535.0
540,Series 5 Minifigures,535.0
541,Series 6 Minifigures,535.0
542,Series 7 Minifigures,535.0
543,Series 8 Minifigures,535.0
544,Series 9 Minifigures,535.0
545,Series 10 Minifigures,535.0
546,Team GB,535.0
547,Series 11 Minifigures,535.0
548,Series 12 Minifigures,535.0
549,The LEGO Movie Series,535.0
550,The Simpsons,535.0
551,Series 13 Minifigures,535.0
552,Series 14 Minifigures,535.0
553,The Simpsons Series 2,535.0
554,Series 15 Minifigures,535.0
555,Disney,535.0
556,Series 16 Minifigures,535.0
557,DFB Minifigures,535.0
558,Monster Fighters,
559,Value Packs,
560,Universe,
561,The Hobbit and Lord of the Rings,
562,The Hobbit,561.0
563,An Unexpected Journey,562.0
564,The Desolation of Smaug,562.0
565,The Battle of the Five Armies,562.0
566,The Lord of the Rings,561.0
567,The Fellowship of the Ring,566.0
568,The Two Towers,566.0
569,The Return of the King,566.0
570,Teenage Mutant Ninja Turtles,
571,Legends of Chima,
572,Speedorz,571.0
573,Constraction,571.0
574,Legend Beasts,571.0
575,The Lone Ranger,
576,LEGO Ideas and CUUSOO,
577,Minecraft,
578,The LEGO Movie,
579,Disney Princess,
580,Mixels,
581,Series 1,580.0
582,Series 2,580.0
583,Series 3,580.0
584,Series 4,580.0
585,Series 5,580.0
586,Series 6,580.0
587,Series 7,580.0
588,Series 8,580.0
589,Series 9,580.0
590,Fusion,
591,Juniors,
592,DC Comics Super Heroes,591.0
593,Disney Princess,591.0
594,Fantasy,591.0
595,Friends,591.0
596,Marvel Super Heroes,591.0
597,Nijago,591.0
598,Promotional,
599,LEGO Exclusive,
600,Elves,
601,Speed Champions,
602,Jurassic World,
603,Scooby-Doo,
604,Dimensions,
605,Nexo Knights,
606,Angry Birds,
607,Ghostbusters,
608,Disney,
609,The LEGO Batman Movie,535.0
610,Brickheadz,
611,Series 17 Minifigures,535.0
612,Star Wars Episode 8,158.0
613,Freemakers,158.0
614,Jungle,52.0
